63535852,"42.3513136,-71.1224849"
67019001,"42.413391,-71.037247"
73090223,"42.2530085,-70.9964082"
61399113,"42.255035,-71.128005"
61372376,"42.3299859,-71.0594923"
61410954,"42.250845,-71.13352"
73131634,"42.2341187,-71.0112083"
1080047531,"42.394748,-71.1214636"
75244608,"42.408693,-71.18384"
67021257,"42.4027975,-71.0666113"
75244604,"42.383304,-71.159441"
61340309,"42.35962,-70.969933"
61340308,"42.316438,-71.074645"
63526135,"42.33914,-71.11797"
63522491,"42.310198,-71.142251"
493923497,"42.4011833,-71.142095"
67026708,"42.4134354,-71.0635152"
61340303,"42.316528,-71.109859"
61695462,"42.4125939,-71.1569867"
540001301,"42.3609318,-71.1019936"
67017377,"42.414379,-71.036241"
61388763,"42.281396,-71.105778"
61321094,"42.3688772,-71.0797119"
61321095,"42.3704713,-71.0988397"
61321092,"42.369176,-71.110734"
61453991,"42.3572798,-71.0522489"
61453997,"42.3573097,-71.0523283"
61690457,"42.415419,-71.149186"
61551895,"42.308052,-71.099841"
73067344,"42.24663,-70.98028"
3058496140,"42.3311351,-71.0952304"
2457608229,"42.3357498,-71.1052143"
2179112973,"42.2466228,-71.1721643"
61695799,"42.4181773,-71.1628439"
73057472,"42.22822,-71.04259"
61695791,"42.417904,-71.1601719"
61321323,"42.375761,-71.119385"
61321321,"42.3646402,-71.0981248"
61321325,"42.3639782,-71.0983715"
258955412,"42.3547081,-71.0691458"
61325438,"42.3725805,-71.098714"
61325439,"42.372562,-71.09182"
258955416,"42.3543956,-71.0689205"
258955417,"42.3543212,-71.0688969"
258955414,"42.3545196,-71.0689332"
61325432,"42.3723042,-71.115149"
67440591,"42.26009,-71.03337"
258955419,"42.3542831,-71.0688025"
61325436,"42.3722001,-71.0989715"
620994390,"42.3424648,-71.0604718"
1708499377,"42.3737476,-71.0923139"
61503990,"42.308394,-71.111846"
688404506,"42.3738296,-71.1185729"
1492439658,"42.4091886,-71.0867034"
1027797587,"42.3801794,-71.0996324"
1492439651,"42.4091338,-71.0873851"
61405435,"42.3855258,-71.0676828"
989059375,"42.3483529,-71.0527571"
61386600,"42.297897,-71.165479"
1987880015,"42.3819255,-71.0935942"
63589963,"42.34326,-71.11005"
73083432,"42.26389,-70.99435"
1408370666,"42.2841553,-71.0638457"
67422815,"42.25509,-71.09911"
640505223,"42.2312153,-70.9442774"
73042588,"42.2398427,-70.9973001"
67016130,"42.416555,-71.035304"
61180630,"42.4058186,-71.1313322"
61696473,"42.40811,-71.145256"
892622589,"42.2371706,-70.987287"
61572178,"42.290742,-71.180057"
61341955,"42.353187,-71.134039"
892622582,"42.2374345,-70.985417"
67022136,"42.402098,-71.052154"
70228347,"42.3681686,-71.1875435"
65905838,"42.24951,-71.18523"
61324749,"42.37623,-71.125646"
61324742,"42.3752677,-71.112733"
61324740,"42.375358,-71.113415"
61324745,"42.375377,-71.126019"
61324744,"42.3759382,-71.1125777"
61487473,"42.27496,-71.165136"
66442756,"42.419157,-71.095196"
73044980,"42.2472,-70.99548"
61487478,"42.3671907,-71.0608705"
67438672,"42.24302,-71.09755"
1963521704,"42.3743486,-71.0697387"
61564865,"42.314514,-71.069274"
73045589,"42.29792,-71.0079"
73083296,"42.2529527,-70.9920575"
73041807,"42.25915,-71.01826"
73041801,"42.24741,-70.97999"
61605996,"42.294496,-71.100346"
61518338,"42.270966,-71.0645098"
61381374,"42.27494,-71.112465"
61518331,"42.261675,-71.160109"
67028064,"42.41806,-71.04847"
66479190,"42.4163696,-71.1000076"
61359151,"42.298122,-71.081084"
61359156,"42.29994,-71.113545"
61359157,"42.401278,-71.021767"
71952783,"42.3957985,-71.1054068"
3181982466,"42.2866888,-71.1456342"
515415110,"42.3322763,-71.1702502"
66473133,"42.406661,-71.103883"
1102764005,"42.3709221,-71.0618914"
1102764004,"42.3694399,-71.0612859"
1102764006,"42.3687671,-71.0610601"
1611052222,"42.2315523,-70.9277069"
1102764002,"42.3702131,-71.0621671"
61467048,"42.319375,-71.123835"
61342212,"42.347877,-71.169195"
63525775,"42.322708,-71.137761"
1097411159,"42.3576527,-71.0498405"
808647360,"42.3459094,-71.0781334"
73115613,"42.26632,-70.96695"
61330697,"42.394739,-71.132118"
71952430,"42.3869416,-71.09332"
1145809047,"42.3619406,-71.1629387"
2168390419,"42.2327676,-71.1800284"
61333351,"42.3605978,-71.0913977"
2559968299,"42.3799929,-71.1199864"
2559968298,"42.380855,-71.1197795"
61333354,"42.36027,-71.0924089"
73059095,"42.27335,-71.00862"
1949661759,"42.4040091,-71.1200304"
61333358,"42.3649772,-71.0861393"
2559968291,"42.3876886,-71.1193417"
1043623286,"42.3897078,-71.0840322"
73572898,"42.406497,-71.018666"
61432387,"42.346389,-71.137038"
73061790,"42.260107,-71.0007471"
1097411487,"42.3598253,-71.0507069"
1097411486,"42.3593148,-71.0499401"
67472467,"42.3201139,-71.1798712"
1195629571,"42.3587291,-71.0536873"
75230221,"42.4039849,-71.160879"
70232260,"42.3635687,-71.1698247"
65906586,"42.251323,-71.163354"
67427570,"42.25404,-71.058426"
61366036,"42.2619751,-71.1648798"
988529405,"42.4064075,-71.0674314"
73185138,"42.2419328,-70.9343582"
67436051,"42.289456,-71.187213"
65348780,"42.4177211,-71.0646597"
67425590,"42.2519,-71.08218"
67028932,"42.411279,-71.0671646"
73194273,"42.2347062,-70.9444336"
71945507,"42.4040052,-71.1343016"
2179174821,"42.2534922,-71.0113817"
61385322,"42.352508,-71.061142"
